time_iso8601,stars_cumulative
2022-04-26 00:00:00+00:00,577
2022-04-28 00:00:00+00:00,579
2022-04-30 00:00:00+00:00,581
2022-05-01 00:00:00+00:00,583
2022-05-02 00:00:00+00:00,586
2022-05-03 00:00:00+00:00,588
2022-05-04 00:00:00+00:00,590
2022-05-05 00:00:00+00:00,591
2022-05-06 00:00:00+00:00,594
2022-05-11 00:00:00+00:00,595
2022-05-13 00:00:00+00:00,597
2022-05-14 00:00:00+00:00,599
2022-05-15 00:00:00+00:00,600
2022-05-17 00:00:00+00:00,601
2022-05-19 00:00:00+00:00,602
2022-05-22 00:00:00+00:00,604
2022-05-23 00:00:00+00:00,605
2022-05-25 00:00:00+00:00,607
2022-05-26 00:00:00+00:00,608
2022-05-30 00:00:00+00:00,609
2022-06-02 00:00:00+00:00,610
2022-06-03 00:00:00+00:00,612
2022-06-08 00:00:00+00:00,614
2022-06-10 00:00:00+00:00,616
2022-06-11 00:00:00+00:00,618
2022-06-13 00:00:00+00:00,622
2022-06-17 00:00:00+00:00,623
2022-06-18 00:00:00+00:00,627
2022-06-19 00:00:00+00:00,629
2022-06-20 00:00:00+00:00,630
2022-06-22 00:00:00+00:00,631
2022-06-23 00:00:00+00:00,632
2022-06-24 00:00:00+00:00,633
2022-06-25 00:00:00+00:00,634
2022-06-27 00:00:00+00:00,637
2022-06-29 00:00:00+00:00,638
2022-06-30 00:00:00+00:00,639
2022-07-06 00:00:00+00:00,640
2022-07-10 00:00:00+00:00,642
2022-07-11 00:00:00+00:00,643
2022-07-12 00:00:00+00:00,645
2022-07-15 00:00:00+00:00,646
2022-07-17 00:00:00+00:00,647
2022-07-18 00:00:00+00:00,648
2022-07-27 00:00:00+00:00,650
2022-07-30 00:00:00+00:00,652
2022-08-02 00:00:00+00:00,654
2022-08-08 00:00:00+00:00,655
2022-08-15 00:00:00+00:00,656
2022-08-16 00:00:00+00:00,657
2022-08-19 00:00:00+00:00,658
2022-08-22 00:00:00+00:00,659
2022-08-25 00:00:00+00:00,661
2022-08-26 00:00:00+00:00,662
2022-08-29 00:00:00+00:00,664
2022-08-31 00:00:00+00:00,665
2022-09-01 00:00:00+00:00,666
